@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10}

@data
40,'2016/07/31 16:11:44:571',2,4.856872,5811.520508,-95.716667,0,-0.000001,0.000002,-0.000005,-0.000004,-0.000005,0.000003,0.00001,-0.000002,-0.000001,-0.000001,-0.000009,-0.000003,0,0,0.000009,-0.000018,0,-0.000003,-0.000023,0.000003,0,-0.000017,1
41,'2016/07/31 16:11:44:581',2,11.701048,2304.10083,-91.297142,2.678962,0.502744,-0.105781,-0.883059,-0.891235,0.374515,0.823882,0.65984,0.603099,0.06594,-0.211704,-0.097001,-0.438796,-0.490922,-0.123892,-0.254233,-0.34294,0.013873,0.137088,0.038281,0.037019,0.052257,0.046968,1
42,'2016/07/31 16:11:44:591',2,6.49586,2342.318115,-63.159618,13.41877,-2.297774,3.15791,0.065106,-4.874829,0.800703,2.349449,1.348287,2.987865,-1.036366,-1.973322,0.816622,-1.507721,-0.399327,1.154235,-1.087673,-1.723409,-0.29672,0.027198,0.689163,0.206348,-0.944354,0.298873,1
43,'2016/07/31 16:11:44:601',2,4.88511,2365.773682,-57.341812,14.252707,-3.016441,3.324346,0.381245,-5.113338,1.362689,2.276558,0.936968,3.469964,-0.34986,-2.21232,0.717226,-2.276942,0.14782,0.676321,-1.066769,-1.594977,-0.33704,-0.05605,0.605061,0.384009,-0.815799,0.54157,1
44,'2016/07/31 16:11:44:611',2,3.392992,2359.248291,-49.791763,15.601267,-4.069488,4.122689,0.656146,-4.651855,1.40061,3.304139,0.238382,3.389916,-0.641333,-2.311009,1.065089,-2.671202,-0.291688,0.917208,-1.308627,-0.936508,-0.613063,0.142654,0.758214,0.249987,-0.243804,0.845949,1
45,'2016/07/31 16:11:44:621',2,6.407529,1965.064697,-46.316273,16.529533,-3.552582,3.757993,0.777108,-4.333502,0.33755,3.329232,0.745418,2.563318,-0.805514,-2.14073,0.951473,-2.396639,0.428671,-0.003658,-0.736553,-0.933666,-1.32631,0.640716,0.870888,0.147665,-0.033544,0.059507,1
46,'2016/07/31 16:11:44:631',2,9.15864,1709.66272,-44.45108,16.990168,-3.42617,3.629262,0.990885,-4.358011,0.395158,2.743668,1.202424,2.504488,-0.512882,-2.376673,1.428018,-2.738821,0.498745,0.231351,-0.988168,-0.912324,-0.961227,0.275964,0.718221,-0.080657,-0.130345,0.156848,1
47,'2016/07/31 16:11:44:641',2,8.594406,1721.112061,-41.87505,17.118092,-4.243292,3.674938,0.926438,-4.353056,0.611249,2.796282,1.246661,3.053938,-0.717069,-2.238399,1.185056,-2.631615,0.285542,0.381912,-1.15403,-1.210175,-0.769296,0.522331,0.655153,0.021832,-0.26541,0.197511,1
48,'2016/07/31 16:11:44:651',2,8.330127,1647.007568,-41.621765,18.247545,-4.71959,3.340098,1.82252,-4.986323,0.673814,2.849099,1.128346,2.630066,-0.232426,-2.098069,0.895104,-2.709539,0.421834,0.230312,-1.012468,-0.958468,-0.797923,-0.056529,1.002695,-0.074214,-0.137371,0.398591,1
49,'2016/07/31 16:11:44:661',2,7.339004,1577.660156,-39.807346,17.664185,-4.215167,3.496548,1.511896,-4.195809,0.456876,3.526586,0.549398,2.725821,-0.569643,-2.347182,1.245937,-3.072298,0.23845,0.050546,-0.805825,-0.904755,-0.703242,-0.056716,1.189724,0.073376,0.236485,0.586317,1
